<experiment> rnn on mnist
	class: 8, rate: 94.76%
	class: 9, rate: 91.58%
[progress] epoch: 10
(train) loss: 10.3597, accuracy: 94.91%
	class: 0, rate: 97.10%
	class: 1, rate: 97.67%
	class: 2, rate: 94.76%
	class: 3, rate: 92.24%
	class: 4, rate: 94.28%
	class: 5, rate: 93.17%
	class: 6, rate: 96.57%
	class: 7, rate: 95.72%
	class: 8, rate: 94.34%
	class: 9, rate: 92.72%
(test) loss: 1.8518, accuracy: 94.55%
	class: 0, rate: 98.57%
	class: 1, rate: 99.21%
	class: 2, rate: 95.45%
	class: 3, rate: 93.37%
	class: 4, rate: 94.50%
	class: 5, rate: 86.55%
	class: 6, rate: 94.68%
	class: 7, rate: 96.21%
	class: 8, rate: 90.86%
	class: 9, rate: 94.55%
[progress] epoch: 11
(train) loss: 9.4550, accuracy: 95.35%
	class: 0, rate: 97.52%
	class: 1, rate: 97.80%
	class: 2, rate: 95.43%
	class: 3, rate: 93.18%
	class: 4, rate: 94.63%
	class: 5, rate: 93.75%
	class: 6, rate: 97.11%
	class: 7, rate: 96.28%
	class: 8, rate: 94.60%
	class: 9, rate: 92.77%
(test) loss: 1.7548, accuracy: 94.72%
	class: 0, rate: 97.96%
	class: 1, rate: 99.21%
	class: 2, rate: 95.25%
	class: 3, rate: 96.34%
	class: 4, rate: 87.88%
	class: 5, rate: 91.48%
	class: 6, rate: 96.66%
	class: 7, rate: 95.43%
	class: 8, rate: 93.22%
	class: 9, rate: 92.77%
[progress] epoch: 12
(train) loss: 9.0544, accuracy: 95.61%
	class: 0, rate: 97.64%
	class: 1, rate: 97.86%
	class: 2, rate: 95.74%
	class: 3, rate: 93.77%
	class: 4, rate: 94.66%
	class: 5, rate: 94.47%
	class: 6, rate: 96.74%
	class: 7, rate: 96.60%
	class: 8, rate: 94.67%
	class: 9, rate: 93.53%
(test) loss: 1.5220, accuracy: 95.50%
	class: 0, rate: 98.16%
	class: 1, rate: 98.41%
	class: 2, rate: 94.96%
	class: 3, rate: 90.99%
	class: 4, rate: 95.42%
	class: 5, rate: 93.72%
	class: 6, rate: 96.45%
	class: 7, rate: 97.08%
	class: 8, rate: 94.15%
	class: 9, rate: 95.14%
[progress] epoch: 13
(train) loss: 8.4394, accuracy: 95.84%
	class: 0, rate: 97.70%
	class: 1, rate: 97.80%
	class: 2, rate: 95.70%
	class: 3, rate: 93.97%
	class: 4, rate: 95.31%
	class: 5, rate: 94.98%
	class: 6, rate: 97.06%
	class: 7, rate: 96.86%
	class: 8, rate: 94.87%
	class: 9, rate: 93.78%
(test) loss: 1.3742, accuracy: 96.08%
	class: 0, rate: 98.47%
	class: 1, rate: 99.21%
	class: 2, rate: 94.86%
	class: 3, rate: 93.37%
	class: 4, rate: 94.91%
	class: 5, rate: 93.83%
	class: 6, rate: 96.97%
	class: 7, rate: 97.28%
	class: 8, rate: 96.30%
	class: 9, rate: 95.04%
[progress] epoch: 14
(train) loss: 8.0379, accuracy: 96.04%
	class: 0, rate: 97.79%
	class: 1, rate: 97.92%
	class: 2, rate: 96.48%
	class: 3, rate: 94.14%
	class: 4, rate: 95.09%
	class: 5, rate: 95.28%
	class: 6, rate: 97.38%
	class: 7, rate: 96.89%
	class: 8, rate: 95.28%
	class: 9, rate: 93.85%
(test) loss: 1.4950, accuracy: 95.69%
	class: 0, rate: 97.96%
	class: 1, rate: 98.15%
	class: 2, rate: 95.25%
	class: 3, rate: 92.48%
	class: 4, rate: 97.15%
	class: 5, rate: 95.29%
	class: 6, rate: 98.54%
	class: 7, rate: 95.62%
	class: 8, rate: 96.30%
	class: 9, rate: 90.09%
[progress] epoch: 15
(train) loss: 7.4256, accuracy: 96.28%
	class: 0, rate: 98.13%
	class: 1, rate: 97.94%
	class: 2, rate: 96.36%
	class: 3, rate: 94.62%
	class: 4, rate: 95.79%
	class: 5, rate: 95.39%
	class: 6, rate: 97.55%
	class: 7, rate: 97.06%
	class: 8, rate: 95.64%
	class: 9, rate: 94.07%
(test) loss: 1.2789, accuracy: 96.14%
	class: 0, rate: 98.16%
	class: 1, rate: 97.53%
	class: 2, rate: 97.09%
	class: 3, rate: 93.17%
	class: 4, rate: 97.25%
	class: 5, rate: 95.85%
	class: 6, rate: 97.81%
	class: 7, rate: 95.14%
	class: 8, rate: 96.00%
	class: 9, rate: 93.36%
[progress] epoch: 16
(train) loss: 7.1285, accuracy: 96.48%
	class: 0, rate: 98.19%
	class: 1, rate: 97.92%
	class: 2, rate: 96.46%
	class: 3, rate: 94.80%
	class: 4, rate: 95.98%
	class: 5, rate: 96.00%
